Publication Title,Author,Publication Year,Venue,bib
Variable impedance actuators: A review,"Albu-Schäffer, Alin",2013,"Robotics and autonomous systems 61 (12), 1601-1614, 2013"
"A unified passivity-based control framework for position, torque and impedance control of flexible joint robots","Albu-Schäffer, Alin",2007,"The international journal of robotics research 26 (1), 23-39, 2007"
Collision detection and safe reaction with the DLR-III lightweight manipulator arm,"Albu-Schäffer, Alin",2006,"2006 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2006"
The DLR lightweight robot: design and control concepts for robots in human environments,"Albu-Schäffer, Alin",2007,"Industrial Robot: an international journal, 2007"
Collision detection and reaction: A contribution to safe physical human-robot interaction,"Albu-Schäffer, Alin",2008,"2008 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2008"
Soft robotics,"Albu-Schäffer, Alin",2008,"IEEE Robotics & Automation Magazine 15 (3), 20-30, 2008"
"Robot collisions: A survey on detection, isolation, and identification","Albu-Schäffer, Alin",2017,"IEEE Transactions on Robotics 33 (6), 1292-1312, 2017"
Progress and prospects of the human–robot collaboration,"Albu-Schäffer, Alin",2018,"Autonomous Robots 42, 957-975, 2018"
The KUKA-DLR Lightweight Robot arm-a new reference platform for robotics research and manufacturing,"Albu-Schäffer, Alin",2010,"ISR 2010 (41st international symposium on robotics) and ROBOTIK 2010 (6th …, 2010"
"Requirements for safe robots: Measurements, analysis and new insights","Albu-Schäffer, Alin",2009,"The International Journal of Robotics Research 28 (11-12), 1507-1527, 2009"
The DLR hand arm system,"Albu-Schäffer, Alin",2011,"2011 IEEE International Conference on Robotics and Automation, 3175-3182, 2011"
On the passivity-based impedance control of flexible joint robots,"Albu-Schäffer, Alin",2008,"IEEE Transactions on Robotics 24 (2), 416-429, 2008"
On a new generation of torque controlled light-weight robots,"Albu-Schäffer, Alin",2001,"Proceedings 2001 ICRA. IEEE International Conference on Robotics and …, 2001"
Human-like adaptation of force and impedance in stable and unstable interactions,"Albu-Schäffer, Alin",2011,"IEEE transactions on robotics 27 (5), 918-930, 2011"
DLR's torque-controlled light weight robot III-are we reaching the technological limits now?,"Albu-Schäffer, Alin",2002,"Proceedings 2002 IEEE International Conference on Robotics and Automation …, 2002"
Variable stiffness actuators: Review on design and components,"Albu-Schäffer, Alin",2015,"IEEE/ASME transactions on mechatronics 21 (5), 2418-2430, 2015"
DLR MiroSurge: a versatile system for research in endoscopic telesurgery,"Albu-Schäffer, Alin",2010,"International journal of computer assisted radiology and surgery 5, 183-193, 2010"
Three-dimensional bipedal walking control based on divergent component of motion,"Albu-Schäffer, Alin",2015,"Ieee transactions on robotics 31 (2), 355-368, 2015"
Bipedal walking control based on capture point dynamics,"Albu-Schäffer, Alin",2011,"2011 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2011"
Safety evaluation of physical human-robot interaction via crash-testing.,"Albu-Schäffer, Alin",2007,"Robotics: Science and systems 3, 217-224, 2007"
Overview of the torque-controlled humanoid robot TORO,"Albu-Schäffer, Alin",2014,"2014 IEEE-RAS International Conference on Humanoid Robots, 916-923, 2014"
Cartesian impedance control of redundant robots: Recent results with the DLR-light-weight-arms,"Albu-Schäffer, Alin",2003,"2003 IEEE International conference on robotics and automation (Cat. No …, 2003"
Safe and dependable physical human-robot interaction in anthropic domains: State of the art and challenges,"Albu-Schäffer, Alin",2006,"2006 IEEE/RSJ International Conference on Intelligent Robots and Systems, 1-16, 2006"
A humanoid two-arm system for dexterous manipulation,"Albu-Schäffer, Alin",2006,"2006 6th IEEE-RAS international conference on humanoid robots, 276-283, 2006"
Cartesian impedance control techniques for torque controlled light-weight robots,"Albu-Schäffer, Alin",2002,"Proceedings 2002 IEEE International Conference on Robotics and Automation …, 2002"
The DLR MIRO: a versatile lightweight robot for surgical applications,"Albu-Schäffer, Alin",2008,"Industrial Robot: An International Journal 35 (4), 324-336, 2008"
The role of the robot mass and velocity in physical human-robot interaction-Part I: Non-constrained blunt impacts,"Albu-Schäffer, Alin",2008,"2008 IEEE International Conference on Robotics and Automation, 1331-1338, 2008"
"Method for controlling a robot arm, and robot for implementing the method","Albu-Schäffer, Alin",2010,"US Patent 7,646,161, 2010"
DLR's robotics technologies for on-orbit servicing,"Albu-Schäffer, Alin",2004,"Advanced Robotics 18 (2), 139-174, 2004"
Hand synergies: Integration of robotics and neuroscience for understanding the control of biological and artificial hands,"Albu-Schäffer, Alin",2016,"Physics of life reviews 17, 1-23, 2016"
On making robots understand safety: Embedding injury knowledge into control,"Albu-Schäffer, Alin",2012,"The International Journal of Robotics Research 31 (13), 1578-1602, 2012"
Variable stiffness actuators: The user’s point of view,"Albu-Schäffer, Alin",2015,"The International Journal of Robotics Research 34 (6), 727-743, 2015"
A passivity based cartesian impedance controller for flexible joint robots-part I: Torque feedback and gravity compensation,"Albu-Schäffer, Alin",2004,"IEEE International Conference on Robotics and Automation, 2004. Proceedings …, 2004"
"An overview of null space projections for redundant, torque-controlled robots","Albu-Schäffer, Alin",2015,"The International Journal of Robotics Research 34 (11), 1385-1400, 2015"
Rollin'justin-mobile platform with variable base,"Albu-Schäffer, Alin",2009,"2009 IEEE International Conference on Robotics and Automation, 1597-1598, 2009"
First analysis and experiments in aerial manipulation using fully actuated redundant robot arm,"Albu-Schäffer, Alin",2013,"2013 IEEE/RSJ international conference on intelligent robots and systems …, 2013"
On joint design with intrinsic variable compliance: Derivation of the DLR QA-joint,"Albu-Schäffer, Alin",2010,"2010 IEEE International Conference on Robotics and Automation, 1687-1694, 2010"
"A passivity based cartesian impedance controller for flexible joint robots-part II: Full state feedback, impedance design and experiments","Albu-Schäffer, Alin",2004,"IEEE International Conference on Robotics and Automation, 2004. Proceedings …, 2004"
Towards the robotic co-worker,"Albu-Schäffer, Alin",2011,"Robotics Research: The 14th International Symposium ISRR, 261-282, 2011"
Robots driven by compliant actuators: Optimal control under actuation constraints,"Albu-Schäffer, Alin",2013,"IEEE Transactions on Robotics 29 (5), 1085-1101, 2013"
Friction observer and compensation for control of robots with joint torque measurement,"Albu-Schäffer, Alin",2008,"2008 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2008"
Parameter identification and passivity based joint control for a 7 DOF torque controlled light weight robot,"Albu-Schäffer, Alin",2001,"Proceedings 2001 ICRA. IEEE International Conference on Robotics and …, 2001"
"Safe physical human-robot interaction: measurements, analysis and new insights","Albu-Schäffer, Alin",2011,"Robotics Research: The 13th International Symposium ISRR, 395-407, 2011"
Prioritized multi-task compliance control of redundant manipulators,"Albu-Schäffer, Alin",2015,"Automatica 53, 416-423, 2015"
The sigma. 7 haptic interface for MiroSurge: A new bi-manual surgical console,"Albu-Schäffer, Alin",2011,"2011 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2011"
State feedback controller for flexible joint robots: A globally stable approach implemented on DLR's light-weight robots,"Albu-Schäffer, Alin",2000,"Proceedings. 2000 IEEE/RSJ International Conference on Intelligent Robots …, 2000"
Three-dimensional bipedal walking control using divergent component of motion,"Albu-Schäffer, Alin",2013,"2013 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2013"
A dataset of continuous affect annotations and physiological signals for emotion analysis,"Albu-Schäffer, Alin",2019,"Scientific data 6 (1), 196, 2019"
Closed-loop behavior of an autonomous helicopter equipped with a robotic arm for aerial manipulation tasks,"Albu-Schäffer, Alin",2013,"International Journal of Advanced Robotic Systems 10 (2), 145, 2013"
Reactive whole-body control: Dynamic mobile manipulation using a large number of actuated degrees of freedom,"Albu-Schäffer, Alin",2012,"IEEE Robotics & Automation Magazine 19 (2), 20-33, 2012"
Robotic on-orbit servicing-DLR's experience and perspective,"Albu-Schäffer, Alin",2006,"2006 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2006"
"Force, impedance, and trajectory learning for contact tooling and haptic identification","Albu-Schäffer, Alin",2018,"IEEE Transactions on Robotics 34 (5), 1170-1182, 2018"
"Bidirectional antagonistic variable stiffness actuation: Analysis, design & implementation","Albu-Schäffer, Alin",2010,"2010 IEEE International Conference on Robotics and Automation, 4189-4196, 2010"
The “DLR Crash Report”: Towards a standard crash-testing protocol for robot safety-Part I: Results,"Albu-Schäffer, Alin",2009,"2009 IEEE International Conference on Robotics and Automation, 272-279, 2009"
Walking control of fully actuated robots based on the bipedal slip model,"Albu-Schäffer, Alin",2012,"2012 IEEE International Conference on Robotics and Automation, 1456-1463, 2012"
A globally stable state feedback controller for flexible joint robots,"Albu-Schäffer, Alin",2001,"Advanced Robotics 15 (8), 799-814, 2001"
Programming by touch: The different way of human-robot interaction,"Albu-Schäffer, Alin",2003,"IEEE Transactions on Industrial Electronics 50 (4), 659-666, 2003"
Kontur-2: force-feedback teleoperation from the international space station,"Albu-Schäffer, Alin",2016,"2016 IEEE International Conference on Robotics and Automation (ICRA), 1166-1173, 2016"
Soft robotics,"Albu-Schäffer, Alin",2015,"Berlin, Heidelberg: Springer 10, 978-3, 2015"
Comparison of object-level grasp controllers for dynamic dexterous manipulation,"Albu-Schäffer, Alin",2012,"The International Journal of Robotics Research 31 (1), 3-23, 2012"
"Integration of reactive, torque-based self-collision avoidance into a task hierarchy","Albu-Schäffer, Alin",2012,"IEEE Transactions on Robotics 28 (6), 1278-1293, 2012"
A hands-on-robot for accurate placement of pedicle screws,"Albu-Schäffer, Alin",2006,"Proceedings 2006 IEEE International Conference on Robotics and Automation …, 2006"
"Biomimetic motor behavior for simultaneous adaptation of force, impedance and trajectory in interaction tasks","Albu-Schäffer, Alin",2010,"2010 IEEE International Conference on Robotics and Automation, 2705-2711, 2010"
Rokviss-robotics component verification on ISS,"Albu-Schäffer, Alin",2005,"Proc. 8th Int. Symp. Artif. Intell. Robot. Autom. Space (iSAIRAS)(Munich …, 2005"
A human-centered approach to robot gesture based communication within collaborative working processes,"Albu-Schäffer, Alin",2011,"2011 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2011"
The skeleton algorithm for self-collision avoidance of a humanoid manipulator,"Albu-Schäffer, Alin",2007,"2007 IEEE/ASME international conference on advanced intelligent mechatronics …, 2007"
